DESCRIPTION,HASHTAGS,DATE_POSTED,COMMENTS_COUNT,LIKES_COUNT,VIDEO_VIEW_COUNT,COMMENT_TEXT,SENTIMENT
"There is a war. At home. If only someone knew? THESE ARE THE DOCUMENTS USED IN MY COURT CASE. 

MY other Facebook was shutdown after family court.

These documents of screenshots of my other Facebook that no longer exists are what was used to hand my kids to monsters. It’s pathetically unjustified. 

My Facebook is the biggest middle finger to my ex & the system. 

I can gage my ex’s stalking, rage, anger & find out all his moves from my new Facebook. I communicate through my social media. It’s the best thing I ever did. Now I have a new Facebook & it is the only place I communicate with my ex. I have control here. The only place you have control is their anger. Go towards the places you have control. It should be illegal for them to use this, but they will & I don’t care because I’m an American woman. 

I am gagged from even talking about domestic violence & family court corruption. It’s illegal for me to post pictures of my kids. So what? Let them make it illegal. I’m gunna show up & do what I want because this is the land of the free. Stop being scared stop telling me how to be. That’s rude. 

A judge refused to look at a single picture, video or medical records of my kids abuse. Years of documentation thrown out the window so I can be punished for nothing. Wake up. Turn your lights on. 

Family court is a joke. My gag order is completely unconstitutional & corrupt. 

Stop telling me what to post & not to post. I have already been there & done that. They’re gunna use if you sneeze against you. Stop giving into the excuse that I need to not show up so I won’t “get in trouble” so stupid. They already took my kids. I don’t have anything to lose. 

#warathome #believesurvivors #familycourtawarenessmonth #metoofamilycourt #america #childabuse #domesticviolence #childabuseawareness #domesticviolencesurvivor #justiceforlaurelandnova #momlife #postseperationabuse #coercivecontrol #divorce #ptsd #humanrights #childrenarenotforsale #familycourt #bigfoot #narcwise #familycourtreform #familycourtcrisis #parentalalienation #facebook #gag #games #narcissisticabuse #childcustody #divorcinganarcissist","[""#warathome"",""#believesurvivors"",""#familycourtawarenessmonth"",""#metoofamilycourt"",""#america"",""#childabuse"",""#domesticviolence"",""#childabuseawareness"",""#domesticviolencesurvivor"",""#justiceforlaurelandnova"",""#momlife"",""#postseperationabuse"",""#coercivecontrol"",""#divorce"",""#ptsd"",""#humanrights"",""#childrenarenotforsale"",""#familycourt"",""#bigfoot"",""#narcwise"",""#familycourtreform"",""#familycourtcrisis"",""#parentalalienation"",""#facebook"",""#gag"",""#games"",""#narcissisticabuse"",""#childcustody"",""#divorcinganarcissist""]",2024-02-25,5,24,0,"[""Yes!"",""We were stopped from using a support service, where are all our Human Rights anymore!?!"",""❤❤❤"",""Teachers, doctors,  Therapist are all making money off of these children.  Stress kills and stress is 💯 Prevented just like suicide.  People keep voting and  going to churches when it's a breeding grounds for this type of crap.  These doctors were already killing us before we were born..""]",negative
"コントラストいれるとムキムキになる
メイク極めたら何者？って感じになるんちゃうかな

#ダイエットが１番の整形
#ダイエット中
#なるねぇダイエット#ラスト1日
#Emotion　#friendship
#MeToo follow #일본 #오오티디
#셀카샷 #데일리룩코디
#패션스타그램 #좋아요　
#좋아요반사 #소통환영　
#인친환영 #좋아요그램
#팔로우환영　#카페투어　
#맛집 #멋스타그램　
#맞팔환영 #친구해요 
#ootd #ootdstyle
#mygoodhabits #tbt #love
#photooftheday","[""#ダイエットが１番の整形"",""#ダイエット中"",""#ラスト1日"",""#Emotion"",""#friendship"",""#MeToo"",""#일본"",""#오오티디"",""#셀카샷"",""#데일리룩코디"",""#패션스타그램"",""#좋아요"",""#좋아요반사"",""#소통환영"",""#인친환영"",""#좋아요그램"",""#팔로우환영"",""#카페투어"",""#맛집"",""#멋스타그램"",""#맞팔환영"",""#친구해요"",""#ootd"",""#ootdstyle"",""#mygoodhabits"",""#tbt"",""#love"",""#photooftheday""]",2024-02-28,0,-1,0,[],neutral
"Found on Pinterest 
#metoomovement 
#metoo 
#enoughofviolence","[""#metoomovement"",""#metoo"",""#enoughofviolence""]",2024-02-26,1,12,0,"[""😂❤️👏👏👏""]",negative
".
Merci Mesdames les Ministres @rachida.dati et @auroreberge.fr de vous être levées les premières pour saluer le courage de @judithgodreche1
.
#courage #renaissance #tomberlesmasques #metoo #metoomovement #supportwomen #timeforchange #enough #enoughisenough","[""#courage"",""#renaissance"",""#tomberlesmasques"",""#metoo"",""#metoomovement"",""#supportwomen"",""#timeforchange"",""#enough"",""#enoughisenough""]",2024-02-25,0,6,0,[],positive
"Waiting 💙💙💙
.
.
.
#root #arrels #porta #arteconlibros #bookart #qualsevoldiapotsortirelsol #esperanza #arteconpapel🏵️ #abretucorazon #lastresedades #metoo #dualipa #lastrespuertas #esperanza #roots #familyroots #artereciclado #openyourheart #collageartwork #yoleo #ilovebooks #workinprogress #baliscatmi","[""#root"",""#arrels"",""#porta"",""#arteconlibros"",""#bookart"",""#qualsevoldiapotsortirelsol"",""#esperanza"",""#arteconpapel🏵️"",""#abretucorazon"",""#lastresedades"",""#metoo"",""#dualipa"",""#lastrespuertas"",""#esperanza"",""#roots"",""#familyroots"",""#artereciclado"",""#openyourheart"",""#collageartwork"",""#yoleo"",""#ilovebooks"",""#workinprogress"",""#baliscatmi""]",2022-02-14,1,28,0,"[""😍😍😍😍❤️""]",positive
"Remember this cover and the Me Too movement? It was 2017 and the ""silence breakers"" were Time's Person of the Year.

Time wrote: ""These silence breakers have started a revolution of refusal, gathering strength by the day, and in the past two months alone, their collective anger has spurred immediate and shocking results: nearly every day.""

WHERE ARE THEY NOW? 

Mass rape on October 7th, mass rape of the hostages. Their silence is louder than any sound. 

If you know a Me Too pioneer or a silent celebrity, implore them to speak out. It is never too late. 
*
*
*
*
#metoo #silence #bystanders #sexualassault #october7 #feminists #believeallwomen #timemagazine #thesilencebreakers","[""#metoo"",""#silence"",""#bystanders"",""#sexualassault"",""#october7"",""#feminists"",""#believeallwomen"",""#timemagazine"",""#thesilencebreakers""]",2024-02-16,321,7087,0,"[""Yes shame on all the women not speaking out about all the sexual atrocities and k!lling of innocent babies... in P@le$tine. Your Zionist ideology does not go hand in hand with Judaism.  The racist s of Zionists like you all are clear and the world want forget.  Keep backing yourself into your own isolated corner.  You only have yourself and your blind easily brainwashed minds and empty hearts to blame. May God bless you and have mercy on you for your blindness ❤️"",""It is too late. They've shown who they are."",""Antisemitism is a stronger force apparently than solidarity with fellow victims."",""What mass rape? That has been debunked. There is ZERO evidence that any rapes occurred. You are out here spreading Nazi level propaganda to dehumanise Gazans to the point of murdering thousands of children. Hitler style."",""Is this intended to spark outrage for the racist revenge war that has killed 13,000 babies and children?  The white woman privilege in this post and comments what I can’t comprehend.  @middleeasteye"",""Crickets"",""Why won't they speak for us? #metoounlessyouareajew""]",negative
"Attention all CA type 48 license holders! 🚨 Did you know about AB 1013? This new legislation requires drug testing devices in bars and establishments. Stay compliant and ensure safety with Xantus DrinkCheck wristbands – your reliable solution for drink spiking prevention.

#drinksafety #drinkspikingprevention #college #collegelife #partysafe #girlsnightout #girlsnight #nightout #roofie #roofieawareness #ghb #metoo #safety #safetyfirst #awareness #ab1013 #type48 #bars #club #bar #clubbing #alchohol #beer #drinking #wine #liquor #martini #barowner #nightclub","[""#drinksafety"",""#drinkspikingprevention"",""#college"",""#collegelife"",""#partysafe"",""#girlsnightout"",""#girlsnight"",""#nightout"",""#roofie"",""#roofieawareness"",""#ghb"",""#metoo"",""#safety"",""#safetyfirst"",""#awareness"",""#ab1013"",""#type48"",""#bars"",""#club"",""#bar"",""#clubbing"",""#alchohol"",""#beer"",""#drinking"",""#wine"",""#liquor"",""#martini"",""#barowner"",""#nightclub""]",2024-02-28,0,6,0,[],neutral
"Et on commence ce compte avec mes lectures de janvier ! 📚❄️ 

Ce mois-ci j'ai découvert Kafka avec 'La métamorphose' et 'Lettre au père'... J'ai adoré le premier et son absurde mais le deuxième m'a un peu moins emportée, bien qu'il soit très profond et pousse à l'introspection... Certains sujets m'ont touchée mais d'autres m'étaient inconnus donc difficile de s'y attacher personnellement... 

Jordi Lafebre est mon auteur de bande dessinée préféré et 'Lydie' est le seul de ses livres que je n'avais pas encore. Dans 'Lydie', on suit la vie des habitants d'un même quartier dans lequel Lydie a perdu son enfant mort-né. Cependant, tous les habitants jouent le jeu de faire comme si l'enfant avait vécu, ce qui le rend presque réel... Le seul défaut que je peux trouver à cette bd, c'est qu'elle est beaucoup trop courte 🥲 mais encore une fois c'est un plaisir de parcourir ses pages et le duo Jordi Lafebre/Zidrou fonctionne toujours aussi bien. 

'Max' de Sarah Cohen-Scali est un roman historique dans lequel on suit le parcours du premier enfant du programme du Lebensborn et toute son évolution de pensée sur le fascisme. Ce livre m'a bouleversée, m'a fait pleurer et m'a laissée pantoise... Il est très intéressant et très bien documenté si vous aimez l'histoire allez-y les yeux fermés ! 

'Moi aussi, MeToo au delà du hashtag' est un livre dans lequel des personnalités féminines francophones reviennent sur la manière dont elles ont vécu le hashtag MeToo et l'impact qu'il a eu sur leur vie.  Je l'ai lu un peu tard puisqu'il est sorti a l'occasion des 5 ans de MeToo mais il a quand même résonné en moi et c'est une lecture marquante et importante dans l'objectif de déconstruction. 

Et vous, lesquels avez-vous lus ? ❄️

#bookworm #booklover #book #bookstagram #booksta #bookhaul #bookstagramfr #instalivre #literature #livrestagram #litterature #livre #bandedessinee #litteratureclassique #kafka #franzkafka #jordilafebre #metoo #litteraturejeunesse #feminism #comic","[""#bookworm"",""#booklover"",""#book"",""#bookstagram"",""#booksta"",""#bookhaul"",""#bookstagramfr"",""#instalivre"",""#literature"",""#livrestagram"",""#litterature"",""#livre"",""#bandedessinee"",""#litteratureclassique"",""#kafka"",""#franzkafka"",""#jordilafebre"",""#metoo"",""#litteraturejeunesse"",""#feminism"",""#comic""]",2024-02-28,0,-1,0,[],positive
"Coffee & catch ups 🌸 @notjustpretty_x 🩷 
#feminist #feminism #equality #womenempowerment #women #girlpower #love #womensupportingwomen #feminista #feminismo #womensrights #woman #art #metoo #genderequality #prochoice #feministart #humanrights #selflove #intersectionalfeminism #empowerment #equalrights #femaleempowerment #female #memes #strongwomen #feministas","[""#feminist"",""#feminism"",""#equality"",""#womenempowerment"",""#women"",""#girlpower"",""#love"",""#womensupportingwomen"",""#feminista"",""#feminismo"",""#womensrights"",""#woman"",""#art"",""#metoo"",""#genderequality"",""#prochoice"",""#feministart"",""#humanrights"",""#selflove"",""#intersectionalfeminism"",""#empowerment"",""#equalrights"",""#femaleempowerment"",""#female"",""#memes"",""#strongwomen"",""#feministas""]",2024-02-28,0,2,0,[],positive
"What does it really mean when you invite someone back to your place? 
It means that you invite them back to your place. Nothing More. 
Saying yes to go to someone's place doesn't equal or even imply consent to any sexual activity. 
It also doesn't mean anyone owes anyone anything.

@consentlabs

#metoo #consent #rapeculture #sexualassault #nomeansno #timesup #bhfyp #love #instagram #support #education #community #awareness #health #loveyourself #mentalhealth #emotions #youth #equality #justice #humanrights #makeadifference #suicideprevention #counselling #socialimpact #causes #nonprofit #donate #brainerd #healingjourney","[""#metoo"",""#consent"",""#rapeculture"",""#sexualassault"",""#nomeansno"",""#timesup"",""#bhfyp"",""#love"",""#instagram"",""#support"",""#education"",""#community"",""#awareness"",""#health"",""#loveyourself"",""#mentalhealth"",""#emotions"",""#youth"",""#equality"",""#justice"",""#humanrights"",""#makeadifference"",""#suicideprevention"",""#counselling"",""#socialimpact"",""#causes"",""#nonprofit"",""#donate"",""#brainerd"",""#healingjourney""]",2024-02-17,0,5,0,[],neutral
"LE SÉNAT ADOPTE LA CONSTITUTIONNALISATION DE L’IVG ! 

En plein #MeToo, et à la veille du 8 mars, le Sénat vote à 267 voix POUR que l’IVG rentre ds la Constitution, et à 50 voix CONTRE. 

Prochaine étape le Congrès ! 

#IVG #IVGConstitition","[""#MeToo,"",""#IVG"",""#IVGConstitition""]",2024-02-28,7,154,0,"[""On peut avoir les noms des \""50 contre\"""",""Bravo et merci pour ce combat victorieux ! ✊🏽👏🏽💪🏽🙏🏽🔥"",""Ça m’a sidérée j’avoue que je n’y croyais plus et hop ça redonne de l’espoir et de l’énergie!!! Tout n’est jamais perdu 🙌🔥"",""Une belle victoire à fêter…. Et on en avait besoin plus que jamais en ce moment !\nLe combat continue : rdv le 8 mars ! 🔥""]",positive
#gauche #lfi #npa #melenchon #insoumis #immigration #ruffin #jadot #anticapitalisme #feminism #metoo #badinter #ivg,"[""#gauche"",""#lfi"",""#npa"",""#melenchon"",""#insoumis"",""#immigration"",""#ruffin"",""#jadot"",""#anticapitalisme"",""#feminism"",""#metoo"",""#badinter"",""#ivg""]",2024-02-28,0,4,0,[],neutral
"Many of us have seen bullying behavior at work. And though we might not like to admit it, many of us have failed to do anything about it.

That can reflect the difficult trade-offs that come with calling out bullying. In this episode of the Chicago Booth Review Podcast, Booth’s John Paul Rollert reflects on “the precarious relationship between ethics and expediency” when it comes to blowing the whistle on workplace bullying.

Listen to the episode, “Would You Call Out a Workplace Bully” wherever you get your podcasts or click the link in our bio.

#bully #metoo #metoomovement #business #ethics","[""#bully"",""#metoo"",""#metoomovement"",""#business"",""#ethics""]",2024-02-28,0,1,0,[],negative
#metoo #kermit,"[""#metoo"",""#kermit""]",2024-02-28,45,243,0,"[""Hahahahha"",""Well, my childhood is nuked. 😂"",null,""😮😂😂😂"",""soo funnny"",""Sexual Harassment on a puppet. Lol😂"",""😂😂😂😂"",""That's show biz.."",null,""😂""]",neutral
"Celebrating one year of intentional celibacy 🥺🥰 Some reflections and glimpses into my healing journey ✨️ You are not alone 🫂 We deserve the world, girls and folks ❤️ #metoo #survivor #sasurvivor #sexualassault #sexualabuse #emotionalabuse #abuse #maleviolence #sexualcoercion #patriarchy #trauma #grooming #toxicrelationships #situationships #traumabonding #stealthing #objectification #sexualization #mentalhealth #healing #healingjourney #celibacyjourney #celibacy #sacredjourney","[""#metoo"",""#survivor"",""#sasurvivor"",""#sexualassault"",""#sexualabuse"",""#emotionalabuse"",""#abuse"",""#maleviolence"",""#sexualcoercion"",""#patriarchy"",""#trauma"",""#grooming"",""#toxicrelationships"",""#situationships"",""#traumabonding"",""#stealthing"",""#objectification"",""#sexualization"",""#mentalhealth"",""#healing"",""#healingjourney"",""#celibacyjourney"",""#celibacy"",""#sacredjourney""]",2024-02-23,8,-1,0,"[""so stark, dass du deine Geschichte mit uns teilst! Fühl dich gedrückt 🫂❤️‍🩹 bist eine sehr starke Frau!"",""nur liebe für dich, it's a rotten world but i'm glad you're finding ways to work thru the trauma and am honoured you're allowing me glimpses into your wonderful sacred journey. i'm always here for you and i'll always love you no matter what 🫂💞"",""Only unconditional, unwavering solidarity and love for my sister(s) ❤️❤️❤️"",""oh mausi 🥺 big hug ♥️""]",positive
"🍌the removal of a #condom without #consent is #stealthing.
we're here to support you. 

🔗https://www.gina.uk.com/

#sexualviolence #sexualabuse #sexualharassment #sexualassault #metoo  #domesticviolence #domesticabuse #relationshipabuse #coercivecontrol #spiking #relationship #onlineabuse #support #birmingham #counselling #trauma #therapy #wellbeing #selfcare #consent #contraception #sexualhealth","[""#condom"",""#consent"",""#stealthing."",""#sexualviolence"",""#sexualabuse"",""#sexualharassment"",""#sexualassault"",""#metoo"",""#domesticviolence"",""#domesticabuse"",""#relationshipabuse"",""#coercivecontrol"",""#spiking"",""#relationship"",""#onlineabuse"",""#support"",""#birmingham"",""#counselling"",""#trauma"",""#therapy"",""#wellbeing"",""#selfcare"",""#consent"",""#contraception"",""#sexualhealth""]",2024-02-23,0,1,0,[],negative
"Aye man. Imma share a made up sad sappy story about my life and make you feel bad just so that I can get you to send me money and never pay you back. I also ain’t never gonna pay rent. I will always be the balding victim that screws people over. Anyways byeee Nashville, off to New York I go. #MeToo","[""#MeToo""]",2024-02-28,0,0,0,[],negative
"1/3
In the next 3 posts we will remind you of cases of women having to face repercussions for raising their voice! 

📣Show solidarity by joining our demonstration on the 8th of March at 12 pm in front of the academy building! 📣

#feminism #protest #demo #8thofmarch #internationalwomensday #feministstruggle #rug #lifttherug #uni #metoo #aminext","[""#feminism"",""#protest"",""#demo"",""#8thofmarch"",""#internationalwomensday"",""#feministstruggle"",""#rug"",""#lifttherug"",""#uni"",""#metoo"",""#aminext""]",2024-02-28,0,25,0,[],positive
